"team_abbr","need_urgency","top_need","trade_targets"
"MEM",0.982,"Point Guard Play","LaMelo Ball (+3.46 lift); Josh Giddey (+3.42 lift); Isaiah Collier (+3.37 lift)"
"SAC",0.925,"Scoring/Offense","Kawhi Leonard (+5.72 lift); Joel Embiid (+5.6 lift); Lauri Markkanen (+5.12 lift)"
"DAL",0.742,"Perimeter Defense","Dru Smith (+5.23 lift); John Konchar (+4.4 lift); Paul Reed (+4.24 lift)"
"MIL",0.63,"Scoring/Offense","Kawhi Leonard (+4.23 lift); Joel Embiid (+4.11 lift); Lauri Markkanen (+3.63 lift)"
"IND",0.473,"Point Guard Play","LaMelo Ball (+2.75 lift); Josh Giddey (+2.71 lift); Isaiah Collier (+2.66 lift)"
"LAL",0.473,"3pt Shooting","Sam Merrill (+4.8 lift); LaMelo Ball (+4.4 lift); Sam Hauser (+4.06 lift)"
"CHI",0.412,"Perimeter Defense","Dru Smith (+6.05 lift); John Konchar (+5.21 lift); Paul Reed (+5.06 lift)"
"BKN",0.39,"Point Guard Play","LaMelo Ball (+3.82 lift); Josh Giddey (+3.78 lift); Isaiah Collier (+3.73 lift)"
"UTA",0.328,"3pt Shooting","Sam Merrill (+5.12 lift); LaMelo Ball (+4.72 lift); Sam Hauser (+4.38 lift)"
"LAC",0.248,"3pt Shooting","Sam Merrill (+3.72 lift); LaMelo Ball (+3.31 lift); Sam Hauser (+2.98 lift)"
"GSW",0.157,"Rebounding","Mitchell Robinson (+4.72 lift); Andre Drummond (+4.43 lift); Zach Edey (+4.25 lift)"
"WAS",0.14,"Point Guard Play","LaMelo Ball (+2.98 lift); Josh Giddey (+2.94 lift); Isaiah Collier (+2.89 lift)"
"ORL",0.134,"3pt Shooting","Sam Merrill (+3.55 lift); LaMelo Ball (+3.15 lift); Sam Hauser (+2.81 lift)"
"SAS",0.094,"Interior Defense","Jay Huff (+6.38 lift); Dylan Cardwell (+5.34 lift); Adem Bona (+5.12 lift)"
"MIN",-0.047,"Interior Defense","Jay Huff (+6.48 lift); Dylan Cardwell (+5.43 lift); Adem Bona (+5.21 lift)"
"PHX",-0.087,"Scoring/Offense","Kawhi Leonard (+3.83 lift); Joel Embiid (+3.71 lift); Lauri Markkanen (+3.23 lift)"
"DET",-0.109,"Interior Defense","Jay Huff (+5.87 lift); Dylan Cardwell (+4.83 lift); Adem Bona (+4.61 lift)"
"NOP",-0.11,"Rebounding","Mitchell Robinson (+4.01 lift); Andre Drummond (+3.72 lift); Zach Edey (+3.54 lift)"
"MIA",-0.172,"Interior Defense","Jay Huff (+4.99 lift); Dylan Cardwell (+3.94 lift); Adem Bona (+3.72 lift)"
"OKC",-0.188,"Interior Defense","Jay Huff (+6.42 lift); Dylan Cardwell (+5.37 lift); Adem Bona (+5.15 lift)"
"PHI",-0.329,"3pt Shooting","Sam Merrill (+3.46 lift); LaMelo Ball (+3.06 lift); Sam Hauser (+2.73 lift)"
"BOS",-0.33,"Interior Defense","Jay Huff (+6.57 lift); Dylan Cardwell (+5.52 lift); Adem Bona (+5.3 lift)"
"ATL",-0.363,"Scoring/Offense","Kawhi Leonard (+4.48 lift); Joel Embiid (+4.36 lift); Lauri Markkanen (+3.87 lift)"
"CLE",-0.39,"Rebounding","Mitchell Robinson (+3.98 lift); Andre Drummond (+3.69 lift); Zach Edey (+3.51 lift)"
"CHA",-0.415,"Perimeter Defense","Dru Smith (+5.54 lift); John Konchar (+4.71 lift); Paul Reed (+4.55 lift)"
"TOR",-0.452,"3pt Shooting","Sam Merrill (+3.79 lift); LaMelo Ball (+3.39 lift); Sam Hauser (+3.05 lift)"
"POR",-0.512,"Perimeter Defense","Dru Smith (+4.27 lift); John Konchar (+3.43 lift); Paul Reed (+3.28 lift)"
"HOU",-0.582,"Interior Defense","Jay Huff (+5.06 lift); Dylan Cardwell (+4.02 lift); Adem Bona (+3.8 lift)"
"DEN",-0.984,"Perimeter Defense","Dru Smith (+5.11 lift); John Konchar (+4.27 lift); Paul Reed (+4.11 lift)"
"NYK",-1.057,"Rebounding","Andre Drummond (+3.03 lift); Zach Edey (+2.84 lift); Kel'el Ware (+2.63 lift)"
